dataset,method,graph,target,regime,n,n_errors,auroc_base,auroc_overlap_only,auroc_full,delta_auroc,delta_auroc_ci_low,delta_auroc_ci_high,auprc_base,auprc_full,delta_auprc,delta_auprc_ci_low,delta_auprc_ci_high
setfit_ag_news,subgraphx,window,bert_correct,all,7600,471,0.8868036687564534,0.45042556657580246,0.8845179180518913,-0.002270398530557521,-0.0041681316349203214,-0.0005779976744503992,0.3342144929388435,0.3271582101154092,-0.00781844966746897,-0.014265340573954361,-0.0021425449838286003
setfit_ag_news,subgraphx,window,bert_correct,confidence>0.9,6506,144,0.8106061598379266,0.4462553267665654,0.8038549198365293,-0.006726531699967415,-0.013770303233330925,-0.00020952588695260997,0.09288454724528535,0.08837771898392553,-0.006460923008936011,-0.01886531000496082,0.0033359432204575026
setfit_ag_news,subgraphx,window,gnn_correct_gold,all,7600,562,0.8398581568890386,0.5034458339527467,0.8302855672156945,-0.009668866414682262,-0.020699985839702912,0.0017605303113868561,0.3108494066613541,0.3071905724984254,-0.0036788271609621277,-0.008788562292963886,0.0018356454131829374
setfit_ag_news,subgraphx,window,gnn_correct_gold,confidence>0.9,6837,278,0.7619142679453024,0.49252523579550755,0.7412512435546303,-0.019820227224517796,-0.04437262979319346,0.005428847684409416,0.15859036225939827,0.14746762409533812,-0.01089521203033884,-0.018821537081547195,-0.00393927296693751
setfit_ag_news,subgraphx,window,gnn_correct_gold,all (base = confidence+explanation),7600,562,0.8450030793688356,0.5034458339527467,0.8432752955739004,-0.0017391779964408252,-0.004098729303464449,0.0005613454066694584,0.2980350939644265,0.29767888712865154,-0.0002685126232458928,-0.0037261634400606314,0.0030429641437078126
setfit_ag_news,subgraphx,window,gnn_agrees_teacher,all,7600,266,0.9427186387020182,0.535677122312189,0.9458316503011005,0.0031315266412765856,-0.0038551295934606267,0.01099610180933584,0.31510888045222324,0.3206877419931466,0.005522557139384815,-0.012975871726506664,0.021045543406639628
setfit_ag_news,subgraphx,window,gnn_agrees_teacher,all (base = confidence+explanation),7600,266,0.9391883718021534,0.535677122312189,0.9397978515965398,0.000588358693739042,-0.001545628498717419,0.002925205557588309,0.34292056686863337,0.33887901339005133,-0.003248644281578165,-0.02041271566437618,0.012050543057960831
setfit_ag_news,subgraphx,skipgrams,bert_correct,all,7600,471,0.8868036687564534,0.499295810092386,0.88468648285955,-0.002115121152442319,-0.004476361239301507,-2.6308011034692982e-05,0.3342144929388435,0.33414051951294155,-0.0008116513994119456,-0.008110399943959214,0.006118645820246099
setfit_ag_news,subgraphx,skipgrams,bert_correct,confidence>0.9,6506,144,0.8106061598379266,0.5071130890006637,0.8034335813336129,-0.007150208108777646,-0.01599656849268389,0.0005757333031247828,0.09288454724528535,0.09532025093126788,0.0009597121140257429,-0.01637149313637587,0.018230753002714012
setfit_ag_news,subgraphx,skipgrams,gnn_correct_gold,all,7600,564,0.8437345021953964,0.507225756897657,0.8334804994778625,-0.01032099602142845,-0.020382263950236602,-0.00032497946500877376,0.3164935568905674,0.31311991020739305,-0.00335593533294749,-0.0068409320829725785,0.0001396040893518329
setfit_ag_news,subgraphx,skipgrams,gnn_correct_gold,confidence>0.9,6854,282,0.7706274847515572,0.4839562208898271,0.7487476420490109,-0.021711275149349032,-0.04210588165115731,-0.0022840757393529703,0.1578816221847351,0.1565684739826466,-0.0009806120232986682,-0.007094757021575974,0.006353488720131315
setfit_ag_news,subgraphx,skipgrams,gnn_correct_gold,all (base = confidence+explanation),7600,564,0.8426476398985561,0.507225756897657,0.84048676714284,-0.0021539385009365338,-0.003848227927920017,-0.0006077568574947374,0.32841955736058914,0.32737184947820214,-0.0010249335227890306,-0.0034097239200375287,0.0014712416417487417
setfit_ag_news,subgraphx,skipgrams,gnn_agrees_teacher,all,7600,263,0.949454584840314,0.5067422216993819,0.9491959861755952,-0.00024908751700773415,-0.004437146979031315,0.0027156683140604873,0.3358835087337234,0.3330764689654146,-0.0032573697853463877,-0.014261027210698595,0.006056729026148259
