dataset,method,graph,target,regime,n,n_errors,auroc_base,auroc_overlap_only,auroc_full,delta_auroc,delta_auroc_ci_low,delta_auroc_ci_high,auprc_base,auprc_full,delta_auprc,delta_auprc_ci_low,delta_auprc_ci_high
setfit_ag_news,subgraphx,constituency,bert_correct,confidence>0.9,6506,144,0.8106061598379266,0.46325186000209573,0.8009644940445004,-0.009646566518235183,-0.016159531583200524,-0.003931291811358983,0.09288454724528535,0.08131662861809659,-0.012967930386450232,-0.029675679453286207,-0.002156903871923918
setfit_ag_news,subgraphx,constituency,gnn_correct_gold,all,7600,496,0.8198450781931124,0.5062432171334641,0.783860126507556,-0.036002544940402496,-0.05323561796472147,-0.02021850695269605,0.29321989564062884,0.27993922600708643,-0.013355354103350208,-0.01956281896019165,-0.00790932557549997
setfit_ag_news,subgraphx,constituency,gnn_correct_gold,confidence>0.9,7109,302,0.7495692494189368,0.49663061106749284,0.6878038482006738,-0.06205325653068289,-0.09060417433544309,-0.03291324960230923,0.1630936762434339,0.14949973024091623,-0.014011563011033226,-0.02206911137514082,-0.005997475450077751
setfit_ag_news,subgraphx,constituency,gnn_correct_gold,all (base = confidence+explanation),7600,496,0.8311997102949723,0.5062432171334641,0.8266719340308049,-0.004527797573739498,-0.008293626829110076,-0.0008973837992427979,0.29741298410129124,0.2953976625954649,-0.002093587788559004,-0.005179224108541186,0.0007481525609207411
setfit_ag_news,subgraphx,constituency,gnn_agrees_teacher,all,7600,141,0.9730184583524687,0.4378056305914413,0.9707849720315027,-0.0022075210224588053,-0.006016424673051299,0.0006620271875107469,0.335825134851386,0.325213351144562,-0.008510528997910686,-0.03448573670652841,0.015763185607233075
setfit_ag_news,subgraphx,constituency,gnn_agrees_teacher,all (base = confidence+explanation),7600,141,0.9627590639705091,0.4378056305914413,0.9620288308949443,-0.000674499270450171,-0.0047843463891847045,0.00436773616838102,0.34075049238340993,0.33775904285548536,-0.002882754066972768,-0.02407306770598044,0.01890559735250109
setfit_ag_news,subgraphx,syntactic,bert_correct,all,7600,471,0.8868036687564534,0.5216922953672375,0.8844056407860124,-0.002413438218207542,-0.00386886220615556,-0.0012583690098252804,0.3342144929388435,0.3303849114042368,-0.003822687495204453,-0.0076708124160100545,-0.00031408021750449564
setfit_ag_news,subgraphx,syntactic,bert_correct,confidence>0.9,6506,144,0.8106061598379266,0.45848287575535296,0.8023125589437284,-0.008423359268365257,-0.013328850893548332,-0.004310425996770609,0.09288454724528535,0.08380494074079692,-0.00978126013426901,-0.022123114645456805,-0.0011054984564802745
setfit_ag_news,subgraphx,syntactic,gnn_correct_gold,all,7600,484,0.8321135817782299,0.5250030196182274,0.8052993719194087,-0.026635298999197875,-0.04323795386543603,-0.010727420749601917,0.2997272561254018,0.2929800194947052,-0.006715243722597172,-0.013622455501873186,0.0002411148863784388
setfit_ag_news,subgraphx,syntactic,gnn_correct_gold,confidence>0.9,7047,272,0.7570658780117212,0.5127238441502062,0.7063777946602996,-0.050331111464401654,-0.08086211740671644,-0.02085846525533135,0.1521230122815583,0.13704098498668119,-0.015281589847764851,-0.02689144912650623,-0.003070513710233758
