dataset,method,graph,target,feature,n_valid,mean_when_correct,mean_when_error,auroc_error_oriented
setfit_ag_news,graphsvx,skipgrams,bert_correct,jaccard_k20,7600,0.11743325154309589,0.11537536425824535,0.5029790702668059
setfit_ag_news,graphsvx,skipgrams,bert_correct,jaccard_top5,7600,0.09287183803244962,0.09382266707107471,0.49235695593400247
setfit_ag_news,graphsvx,skipgrams,bert_correct,spearman,7600,0.04386662589260285,0.040765862792882676,0.5048745308999246
setfit_ag_news,graphsvx,skipgrams,bert_correct,top1_match,7600,0.03324449431897882,0.036093418259023353,0.4985755380299777
setfit_ag_news,graphsvx,skipgrams,gnn_correct_gold,jaccard_k20,7600,0.11730373963755003,0.11733517388647037,0.4977735615612651
setfit_ag_news,graphsvx,skipgrams,gnn_correct_gold,jaccard_top5,7600,0.09280543631849447,0.09479810055123862,0.49004131813850405
setfit_ag_news,graphsvx,skipgrams,gnn_correct_gold,spearman,7600,0.04408874032520061,0.03750185934672529,0.5131740120482352
setfit_ag_news,graphsvx,skipgrams,gnn_correct_gold,top1_match,7600,0.033136759337264815,0.03765690376569038,0.4977399277857872
setfit_ag_news,graphsvx,skipgrams,gnn_agrees_teacher,jaccard_k20,7600,0.11746959136550032,0.10882064996662352,0.5243209234918932
setfit_ag_news,graphsvx,skipgrams,gnn_agrees_teacher,jaccard_top5,7600,0.09307407691259624,0.08551036155202822,0.5193896787076777
setfit_ag_news,graphsvx,skipgrams,gnn_agrees_teacher,spearman,7600,0.044017723182548235,0.02590106468565157,0.5284949481402004
setfit_ag_news,graphsvx,skipgrams,gnn_agrees_teacher,top1_match,7600,0.033664163090128756,0.020833333333333332,0.5064154148783977
setfit_ag_news,subgraphx,constituency,bert_correct,jaccard_k20,7600,0.07681634179735179,0.07772004321631952,0.4936253614389836
setfit_ag_news,subgraphx,constituency,bert_correct,jaccard_top5,7600,0.05993293656360005,0.06382907019849694,0.4863055984661198
setfit_ag_news,subgraphx,constituency,bert_correct,spearman,7600,0.046474420436923077,0.03581436008889606,0.5146855387775001
setfit_ag_news,subgraphx,constituency,bert_correct,top1_match,7600,0.030439051760415205,0.04670912951167728,0.49186496112436895
setfit_ag_news,subgraphx,constituency,gnn_correct_gold,jaccard_k20,7600,0.0768135430561965,0.07771457894553904,0.4960296107599535
setfit_ag_news,subgraphx,constituency,gnn_correct_gold,jaccard_top5,7600,0.05979584495209495,0.06559619815668204,0.4835396289686865
setfit_ag_news,subgraphx,constituency,gnn_correct_gold,spearman,7600,0.046316722786758115,0.03861029882976812,0.5086414854875037
setfit_ag_news,subgraphx,constituency,gnn_correct_gold,top1_match,7600,0.03054617117117117,0.04435483870967742,0.4930956662307469
