dataset,method,graph,target,n,n_errors,error_rate,teacher_gold_alignment,regime,n_regime,n_errors_regime,error_rate_regime,ece,share_of_errors_in_regime,auroc_confidence,auroc_confidence_plus_explanation,auprc_confidence,auprc_confidence_plus_explanation,delta_auroc,delta_auroc_ci_low,delta_auroc_ci_high,delta_auprc,delta_auprc_ci_low,delta_auprc_ci_high
setfit_ag_news,graphsvx,window,teacher_agreement,7600,266,0.03500000000000003,0.9380263157894737,confidence>0.95,6631,30,0.004524204494043116,,0.11278195488721804,0.8752815230015654,0.8904660909963137,0.037131523256455544,0.041055975756760586,0.015211161351233494,-0.037050638116242034,0.07056743798401169,0.005200817373487996,-0.024645249317149103,0.03810106207666761
setfit_ag_news,graphsvx,window,gold_label,7600,562,0.07394736842105265,0.9380263157894737,all,7600,562,0.07394736842105265,0.041468583055232724,1.0,0.8359406839738319,0.8422796835480802,0.3092575178737807,0.31122916176142557,0.006451704486841104,-0.005052809585839058,0.017465547438390867,0.002430263067745089,-0.016858151366141754,0.019912115505203394
setfit_ag_news,graphsvx,window,gold_label,7600,562,0.07394736842105265,0.9380263157894737,confidence>0.9,6837,278,0.040661108673394786,,0.49466192170818507,0.7704203461441854,0.7818051093505435,0.1349523272209553,0.15874942947209145,0.011735007905188848,-0.011940578124882995,0.034991476903741575,0.02488306819004018,0.005322309694214102,0.049752519146586675
setfit_ag_news,graphsvx,window,gold_label,7600,562,0.07394736842105265,0.9380263157894737,confidence>0.95,6631,230,0.03468556778766396,,0.4092526690391459,0.7423595497986047,0.7594839121604641,0.1018754416763155,0.1215889156647176,0.017276980862443825,-0.011747460527282582,0.04548069353243062,0.021275772846088663,0.0011922732142372124,0.044115202208032174
setfit_ag_news,subgraphx,constituency,teacher_agreement,7600,267,0.0351315789473684,0.9380263157894737,all,7600,267,0.0351315789473684,0.0049805883239758784,1.0,0.948047178855423,0.9452431698887233,0.3279913346185102,0.34154179659583467,-0.002782298782427538,-0.0098743559381164,0.0027619927812686123,0.01341605369245628,-0.014187232914110342,0.04056409511636426
setfit_ag_news,subgraphx,constituency,teacher_agreement,7600,267,0.0351315789473684,0.9380263157894737,confidence>0.9,6823,51,0.007474717866041369,,0.19101123595505617,0.9320384976199576,0.894516637133294,0.07035378027641745,0.05981881725755086,-0.03657742444561129,-0.08915000617244094,0.0031951552698322393,-0.01134987310005868,-0.03317436502433346,0.006473629174345921
setfit_ag_news,subgraphx,constituency,teacher_agreement,7600,267,0.0351315789473684,0.9380263157894737,confidence>0.95,6580,30,0.00455927051671734,,0.11235955056179775,0.9270025445292621,0.8635623409669213,0.04783058032430851,0.04537406913128044,-0.06636472165426778,-0.16675633983788593,0.009784739375233427,-0.0013401184081948537,-0.0335755608735636,0.037071315519985965
setfit_ag_news,subgraphx,constituency,gold_label,7600,574,0.07552631578947366,0.9380263157894737,all,7600,574,0.07552631578947366,0.04262661796259253,1.0,0.8453757125103275,0.8320506411725089,0.3215887715522307,0.3191601181033614,-0.013333157173102055,-0.02605448479092888,-0.0009335205242616849,-0.0026192858478227385,-0.020249729211326128,0.01594841462841458
setfit_ag_news,subgraphx,constituency,gold_label,7600,574,0.07552631578947366,0.9380263157894737,confidence>0.9,6823,288,0.04221017147882167,,0.5017421602787456,0.776799073365638,0.7671140440363854,0.14250847091485358,0.14071646472218632,-0.009634947892319421,-0.03107138121875608,0.011329481237662482,-0.0019588500630288164,-0.017085719166229956,0.013586857566039664
setfit_ag_news,subgraphx,constituency,gold_label,7600,574,0.07552631578947366,0.9380263157894737,confidence>0.95,6580,231,0.03510638297872337,,0.4024390243902439,0.7548443051671906,0.740396108328066,0.09945036687850603,0.09378246426892875,-0.014272049778564874,-0.039631828147155074,0.009451875551942093,-0.006963285215020964,-0.021055154614767823,0.003466343539684787
setfit_ag_news,subgraphx,skipgrams,teacher_agreement,7600,263,0.034605263157894695,0.9380263157894737,all,7600,263,0.034605263157894695,0.0037040403916648065,1.0,0.9497836633014292,0.9517140841953721,0.3399492540257762,0.3636736161996609,0.001874358560311983,-0.0015689708056606493,0.004899438403914111,0.02245169841080076,-0.006184303836589862,0.05301868404617631
setfit_ag_news,subgraphx,skipgrams,teacher_agreement,7600,263,0.034605263157894695,0.9380263157894737,confidence>0.9,6854,47,0.006857309600233452,,0.17870722433460076,0.9219107989585189,0.9197353162732981,0.0960505572439133,0.08208853362310889,-0.0019258255010823424,-0.04145235223720904,0.04207344138927114,-0.015177407310474296,-0.0469416646568895,0.008370959554768027
setfit_ag_news,subgraphx,skipgrams,teacher_agreement,7600,263,0.034605263157894695,0.9380263157894737,confidence>0.95,6636,22,0.0033152501506932275,,0.08365019011406843,0.8453006020287545,0.8274665310498391,0.039895236681327516,0.029390205820489127,-0.018195599063734306,-0.13049817021693821,0.09162966953074855,-0.011007231297687955,-0.04469241017066342,0.014758065510370552
setfit_ag_news,subgraphx,skipgrams,gold_label,7600,564,0.0742105263157895,0.9380263157894737,all,7600,564,0.0742105263157895,0.04253237910568715,1.0,0.8407191082134835,0.8429953955140533,0.3161018970622904,0.32031308075146614,0.0021670017082474173,-0.011406608285992445,0.016829437988404514,0.0040222374879069454,-0.011517121804363142,0.018746631177329578
setfit_ag_news,subgraphx,skipgrams,gold_label,7600,564,0.0742105263157895,0.9380263157894737,confidence>0.9,6854,282,0.0411438576014006,,0.5,0.7840224809313528,0.7871536455972684,0.1408453437015989,0.14588851926875318,0.003491704803018186,-0.019221782180261528,0.028032802806195543,0.0060794090789855456,-0.007292995619034854,0.022630104441283907
setfit_ag_news,subgraphx,skipgrams,gold_label,7600,564,0.0742105263157895,0.9380263157894737,confidence>0.95,6636,231,0.034810126582278444,,0.4095744680851064,0.7450172518088208,0.7769917306217071,0.10756908490073902,0.11799589750271429,0.03163933168995218,0.004595441590368605,0.058759903613977996,0.011068016887879825,-0.0026775830093320107,0.025770167523386532
setfit_ag_news,subgraphx,syntactic,teacher_agreement,7600,317,0.04171052631578942,0.9380263157894737,all,7600,317,0.04171052631578942,0.003412938953230285,1.0,0.9351499603025238,0.9379805441218065,0.341454144651772,0.39590935562099727,0.0028985641016044702,-0.005060855798873223,0.009249763714966452,0.05461359078413956,0.022399368281746514,0.0875601685149594
setfit_ag_news,subgraphx,syntactic,teacher_agreement,7600,317,0.04171052631578942,0.9380263157894737,confidence>0.9,6674,53,0.007941264608930187,,0.167192429022082,0.8710250118975358,0.8451040571309698,0.08597208823815006,0.076176827478301,-0.027038848441285082,-0.0790862388622532,0.023248636193171336,-0.010030720638879819,-0.06096057658355814,0.050662814175714055
setfit_ag_news,subgraphx,syntactic,teacher_agreement,7600,317,0.04171052631578942,0.9380263157894737,confidence>0.95,6420,30,0.004672897196261627,,0.0946372239747634,0.8016849243609807,0.7397861241523214,0.02902452178075371,0.05340870521069508,-0.06422993640050934,-0.1901508356240174,0.05229314776157944,0.03137773338718941,-0.017291053017124074,0.11198685211187005
setfit_ag_news,subgraphx,syntactic,gold_label,7600,606,0.0797368421052631,0.9380263157894737,all,7600,606,0.0797368421052631,0.04080891833885723,1.0,0.839939184081405,0.837894055347771,0.31443230128575417,0.3400844324537045,-0.0020443636358986046,-0.011463042117453475,0.0068607874497408905,0.025823184986029566,0.006281076129556524,0.04706028450560315
setfit_ag_news,subgraphx,syntactic,gold_label,7600,606,0.0797368421052631,0.9380263157894737,confidence>0.9,6674,268,0.0401558285885526,,0.44224422442244227,0.7591955536087902,0.752827340040354,0.16040742463465496,0.15840956882051732,-0.006330298562872397,-0.027481056984991925,0.012780564744379563,-0.00015905372616252034,-0.03022029034794501,0.030515328782959445
