dataset,graph,model,n,bert_accuracy,n_bert_errors,accuracy_gold,n_errors,bert_errors_reproduced,jaccard_errors,p_err_given_bert_err,p_err_given_bert_ok,lift,agreement_with_bert,mean_conf_on_bert_errors,confident_agreeing_on_bert_errors,diff_vs_original_bert_errors_reproduced,diff_vs_original_bert_errors_reproduced_ci_low,diff_vs_original_bert_errors_reproduced_ci_high,diff_vs_original_jaccard_errors,diff_vs_original_jaccard_errors_ci_low,diff_vs_original_jaccard_errors_ci_high,diff_vs_original_lift,diff_vs_original_lift_ci_low,diff_vs_original_lift_ci_high,diff_vs_original_confident_agreeing_on_bert_errors,diff_vs_original_confident_agreeing_on_bert_errors_ci_low,diff_vs_original_confident_agreeing_on_bert_errors_ci_high,jaccard_errors_with_original_teacher_model,jaccard_errors_with_teacher_replicate
stanfordnlp_sst2,constituency,gold [gnn_models_control_seed1],872,0.9162844036697247,73,0.8922018348623854,94,0.7123287671232876,0.45217391304347826,0.7123287671232876,0.052565707133917394,13.551206784083496,0.9277522935779816,0.7598442165818933,0.1917808219178082,-0.000768451932312774,-0.09334374999999993,0.09090909090909094,0.007539250923118852,-0.060772012255657065,0.07851901276902434,0.6493831808680156,-3.3427905717736226,4.751055604004789,-0.21574837621189358,-0.3194583333333333,-0.12307017543859651,,0.6206896551724138
stanfordnlp_sst2,constituency,teacher (replicate) [gnn_models_control_seed2],872,0.9162844036697247,73,0.8830275229357798,102,0.7397260273972602,0.4462809917355372,0.7397260273972602,0.060075093867334166,12.313356164383562,0.9231651376146789,0.806228030217837,0.3561643835616438,0.0286347077114608,-0.04761904761904756,0.1046664626682986,0.001934539148921204,-0.05514663814519625,0.05964035645801698,-0.6948072170922851,-4.089995559845561,2.2715678687838174,-0.05517269946079081,-0.1207027168234065,0.0,0.7368421052631579,
stanfordnlp_sst2,constituency,gold [gnn_models_control_seed2],872,0.9162844036697247,73,0.8967889908256881,90,0.7123287671232876,0.46846846846846846,0.7123287671232876,0.04755944931163955,14.977649603460705,0.9323394495412844,0.7689905721847325,0.2602739726027397,-0.0022150023236651964,-0.11120218579234976,0.11596555618294743,0.022282347679467074,-0.06817111187511982,0.11683235110143983,2.1057935457280674,-3.0551482607463605,8.16394507407706,-0.14916979528214866,-0.2535323049407556,-0.046790081521739205,,0.5462184873949579
stanfordnlp_sst2,syntactic,teacher (original),872,0.9162844036697247,73,0.875,109,0.7671232876712328,0.4444444444444444,0.7671232876712328,0.06633291614518148,11.564745412251225,0.9197247706422018,0.8348250560564537,0.410958904109589,,,,,,,,,,,,,,
stanfordnlp_sst2,syntactic,teacher (replicate),872,0.9162844036697247,73,0.8727064220183486,111,0.7534246575342466,0.4263565891472868,0.7534246575342466,0.07008760951188986,10.749755381604697,0.9151376146788991,0.8189998620176968,0.3698630136986301,-0.013755279469012225,-0.09461068211068215,0.06581140350877189,-0.019293858378581767,-0.08399374153013626,0.04429432299498815,-0.9085673138982834,-4.054217643008001,2.0597629589476423,-0.03973239007607377,-0.125,0.044134108867427566,0.6296296296296297,
stanfordnlp_sst2,syntactic,gold,872,0.9162844036697247,73,0.8589449541284404,123,0.7397260273972602,0.38028169014084506,0.7397260273972602,0.08635794743429287,8.565812983918999,0.8990825688073395,0.7405245255117547,0.1917808219178082,-0.02455568881751932,-0.12698412698412698,0.08001612903225801,-0.06284708433904822,-0.13453566997390295,0.004889669208037755,-3.0811689801833673,-6.537829172001705,-0.5217232389427473,-0.2180774005582874,-0.33343750000000005,-0.11759049773755659,,0.5704697986577181
stanfordnlp_sst2,syntactic,teacher (replicate) [gnn_models_control_seed1],872,0.9162844036697247,73,0.8727064220183486,111,0.6986301369863014,0.38345864661654133,0.6986301369863014,0.07509386733416772,9.303424657534245,0.9059633027522935,0.8095723782500176,0.3972602739726027,-0.0670716369639824,-0.18185019206145972,0.038461538461538436,-0.06077185374306398,-0.13275898346018739,0.00988039452508409,-2.349483892674453,-5.480404421822036,0.20658152239922128,-0.014834345815996372,-0.10716698841698842,0.08621221796509158,0.6296296296296297,
stanfordnlp_sst2,syntactic,gold [gnn_models_control_seed1],872,0.9162844036697247,73,0.8623853211009175,120,0.7534246575342466,0.39855072463768115,0.7534246575342466,0.08135168961201501,9.261327713382508,0.9048165137614679,0.7439515672317923,0.1643835616438356,-0.012868422756579595,-0.1333707865168539,0.1096270928462709,-0.04558632334988377,-0.12533682245267472,0.03660941442313221,-2.382145216716065,-5.851246148849526,0.39648022701248137,-0.24466327960156234,-0.3521808268968651,-0.13844827586206898,,0.6267605633802817
stanfordnlp_sst2,syntactic,teacher (replicate) [gnn_models_control_seed2],872,0.9162844036697247,73,0.8807339449541285,104,0.7123287671232876,0.416,0.7123287671232876,0.06508135168961202,10.945205479452055,0.9162844036697247,0.8217073654475278,0.4383561643835616,-0.055414331827217805,-0.13889767932489458,0.025991341991341985,-0.028212334777224308,-0.08922681932376902,0.033193235595856636,-0.5931408352992784,-3.406241122956238,2.508531376286615,0.02782144304614379,-0.06557916307161347,0.12001204819277107,0.6640625,
stanfordnlp_sst2,syntactic,gold [gnn_models_control_seed2],872,0.9162844036697247,73,0.8715596330275229,112,0.726027397260274,0.4015151515151515,0.726027397260274,0.07384230287859825,9.832133735778964,0.9094036697247706,0.7929745945211959,0.273972602739726,-0.04112395864948504,-0.13847222222222227,0.05129870129870121,-0.04296476828907034,-0.11208731791656402,0.02513141635648299,-1.7736721855861142,-5.1573450005788395,1.1331564530457712,-0.13759609639260578,-0.24658379841028247,-0.03027009222661397,,0.5928571428571429
