dataset,method,graph,label,n,accuracy_mean,accuracy_std,splits,bootstrap_mean,bootstrap_std,bootstrap_samples,pooled_model_accuracy_mean,pooled_model_accuracy_std,stratify_by
stanfordnlp_sst2,graphsvx,window,all,872,0.8545840531529141,0.0590770792125366,10,0.8679843360097728,0.032888526471543,400,0.8520245559038664,0.0328437779001291,prediction_class
setfit_ag_news,token_shap_llm,tokens,0,1879,0.8941005802707929,0.0114553482551922,10,0.8865114489703038,0.0175505566194948,200,,,prediction_class
setfit_ag_news,token_shap_llm,tokens,1,1906,0.92130890052356,0.0112077001776822,10,0.916320225957564,0.0239247238176251,200,,,prediction_class
setfit_ag_news,token_shap_llm,tokens,2,1854,0.8446701540249928,0.0236951016269827,10,0.8446625690206335,0.011028995305355,200,,,prediction_class
setfit_ag_news,token_shap_llm,tokens,3,1961,0.8286568942297731,0.027504981832635,10,0.8294158551745571,0.0128693069681702,200,,,prediction_class
setfit_ag_news,token_shap_llm,tokens,all,7600,0.8719795249833746,0.0423506722717197,10,0.8690460866120893,0.0384485255188353,800,0.8742105263157895,0.0133044470102784,prediction_class
stanfordnlp_sst2,token_shap_llm,tokens,0,421,0.7362126245847176,0.0713565098739685,10,0.7745847176079734,0.0452189448178642,200,,,prediction_class
stanfordnlp_sst2,token_shap_llm,tokens,1,451,0.8603864734299517,0.0310602098076245,10,0.8761886473429954,0.0199217047454532,200,,,prediction_class
stanfordnlp_sst2,token_shap_llm,tokens,all,872,0.8004355670493972,0.082507426637193,10,0.8271344564961556,0.0614023780415448,400,0.813074712643678,0.0486917764559465,prediction_class
setfit_ag_news,subgraphx,constituency,0,1782,0.8771106647416985,0.0284252181062334,10,0.8837519615843324,0.0128226947632973,200,,,prediction_class
setfit_ag_news,subgraphx,constituency,1,1943,0.8918953211736718,0.0238241406599674,10,0.8993692704203015,0.0180246893487736,200,,,prediction_class
setfit_ag_news,subgraphx,constituency,2,1888,0.8072104018912529,0.0201776935169232,10,0.811905198131262,0.0132599871804685,200,,,prediction_class
setfit_ag_news,subgraphx,constituency,3,1987,0.8857596061113651,0.0166639055030689,10,0.8899027079843662,0.0104728927269402,200,,,prediction_class
setfit_ag_news,subgraphx,constituency,all,7600,0.8657870249636999,0.0408572727659241,10,0.8715044977377217,0.037397229233513,800,0.8835526315789473,0.0109495506428244,prediction_class
setfit_ag_news,subgraphx,skipgrams,0,1870,0.906951871657754,0.0276010436375699,10,0.9181069518716578,0.0110152887643373,200,,,prediction_class
setfit_ag_news,subgraphx,skipgrams,1,1915,0.9603103184991276,0.0157331451844881,10,0.9633423320244328,0.0090534247150234,200,,,prediction_class
setfit_ag_news,subgraphx,skipgrams,2,1922,0.8865797711571675,0.0165727177408585,10,0.8909352331606217,0.0092273252124501,200,,,prediction_class
setfit_ag_news,subgraphx,skipgrams,3,1893,0.8890698969646339,0.0122262517849218,10,0.8956535226956279,0.0141312169983244,200,,,prediction_class
setfit_ag_news,subgraphx,skipgrams,all,7600,0.9107907756636784,0.0352672227952231,10,0.9170408161084642,0.0307981939745263,800,0.9077631578947368,0.0050086490291247,prediction_class
setfit_ag_news,subgraphx,syntactic,0,1839,0.8994149441672606,0.0268357624945182,10,0.909486828819197,0.01007922912602,200,,,prediction_class
setfit_ag_news,subgraphx,syntactic,1,1937,0.9494311201324714,0.018380249876184,10,0.9495663960258532,0.0097186359652132,200,,,prediction_class
setfit_ag_news,subgraphx,syntactic,2,1794,0.877951582867784,0.0166302278674068,10,0.8853439944134078,0.01155849961294,200,,,prediction_class
setfit_ag_news,subgraphx,syntactic,3,2030,0.880295566502463,0.0193377206171335,10,0.8871748768472907,0.0085809206494115,200,,,prediction_class
setfit_ag_news,subgraphx,syntactic,all,7600,0.9019891186427624,0.0355368934711733,10,0.9080432254313466,0.0278881549783692,800,0.9013157894736844,0.0128112225733032,prediction_class
setfit_ag_news,subgraphx,window,0,1850,0.905945945945946,0.0179602678117147,10,0.913991891891892,0.012193666772482,200,,,prediction_class
setfit_ag_news,subgraphx,window,1,1926,0.930958549222798,0.0235108737906972,10,0.9393219316709844,0.0125741353113329,200,,,prediction_class
setfit_ag_news,subgraphx,window,2,1876,0.8736602571396063,0.0271945288539048,10,0.8820704005006257,0.0095840859157034,200,,,prediction_class
setfit_ag_news,subgraphx,window,3,1948,0.8824477927570712,0.0157931297556248,10,0.8892881046788265,0.0107124991757133,200,,,prediction_class
setfit_ag_news,subgraphx,window,all,7600,0.8982922511168139,0.0310464157700711,10,0.9061995183752426,0.0252621645353157,800,0.8985526315789473,0.0114170803181763,prediction_class
stanfordnlp_sst2,subgraphx,constituency,0,448,0.8638383838383838,0.035626793877582,10,0.8897431818181819,0.0222323369526007,200,,,prediction_class
stanfordnlp_sst2,subgraphx,constituency,1,424,0.9008859357696568,0.0539325906426964,10,0.9031927850561022,0.0212683538628468,200,,,prediction_class
stanfordnlp_sst2,subgraphx,constituency,all,872,0.8818523311077184,0.0490846760082286,10,0.8962828971540513,0.0227832309719815,400,0.8716039707419018,0.02956605036015,prediction_class
stanfordnlp_sst2,subgraphx,skipgrams,0,422,0.834108527131783,0.0433927686246146,10,0.8551160022148394,0.0256373813517361,200,,,prediction_class
stanfordnlp_sst2,subgraphx,skipgrams,1,450,0.8577777777777778,0.0498887651569859,10,0.8765777777777778,0.0219082679989216,200,,,prediction_class
stanfordnlp_sst2,subgraphx,skipgrams,all,872,0.8463231633596473,0.0483275618759261,10,0.8661914597874567,0.0260923433064691,400,0.8382836990595612,0.0209733228394773,prediction_class
stanfordnlp_sst2,subgraphx,syntactic,0,417,0.808362369337979,0.0526434855750942,10,0.8364099883855982,0.0252199890672261,200,,,prediction_class
stanfordnlp_sst2,subgraphx,syntactic,1,455,0.806280193236715,0.0381764794205417,10,0.8291582125603864,0.0216544752184363,200,,,prediction_class
stanfordnlp_sst2,subgraphx,syntactic,all,872,0.8072759127713791,0.0456819820157516,10,0.8326260915960667,0.0237057491186061,400,0.8084900731452457,0.0492406503204699,prediction_class
stanfordnlp_sst2,subgraphx,window,0,414,0.8454123112659697,0.0463404445962542,10,0.876199767711963,0.028238179300439,200,,,prediction_class
stanfordnlp_sst2,subgraphx,window,1,458,0.8865217391304349,0.0463906229434402,10,0.907355314009662,0.0194662354455286,200,,,prediction_class
stanfordnlp_sst2,subgraphx,window,all,872,0.8670041896626729,0.0507080003594546,10,0.8925635752857543,0.028629638909888,400,0.8531870428422152,0.0352446331324145,prediction_class
