dataset,method,regime,n,n_bert_errors,addition,n_added,auroc_base,auroc_full,delta_auroc,delta_auroc_ci_low,delta_auroc_ci_high,auprc_base,auprc_full,delta_auprc,delta_auprc_ci_low,delta_auprc_ci_high
setfit_ag_news,subgraphx,all,7600,471,syntactic:gnn_disagreement,1,0.8868036687564534,0.886015643171532,-0.0007827700404153631,-0.0014558472863077042,-0.0001535408360710285,0.3342144929388435,0.3324317608317197,-0.0016832534950937976,-0.007854939993808123,0.004435174352804998
setfit_ag_news,subgraphx,all,7600,471,syntactic:gnn_confidence+explanation,22,0.8868036687564534,0.8794544218331333,-0.007387636168059029,-0.013221135375050605,-0.0021071843504127316,0.3342144929388435,0.3266482986069911,-0.007547338888847129,-0.019101074523244728,0.005101687154919046
setfit_ag_news,subgraphx,all,7600,471,syntactic:gnn_confidence+explanation+bert_explanation,41,0.8868036687564534,0.8790836388198199,-0.007674101465420372,-0.015277210421588482,0.0005298713521303276,0.3342144929388435,0.3476731678560021,0.012629009964761977,-0.008541634144003128,0.03425666023172301
setfit_ag_news,subgraphx,all,7600,471,window:gnn_confidence,3,0.8868036687564534,0.8859283825908888,-0.0008691941059255961,-0.0017326196130268339,-0.0001036522925610268,0.3342144929388435,0.3267261450926218,-0.007524250656078731,-0.01323892207270785,-0.0027832025269405995
setfit_ag_news,subgraphx,all,7600,471,window:gnn_disagreement,1,0.8868036687564534,0.8870484748905447,0.0002420144966345943,-0.00042234201743095997,0.0009321714906077665,0.3342144929388435,0.33746084632762885,0.002935487639876241,-0.005117681376306522,0.010467200639873466
setfit_ag_news,subgraphx,all,7600,471,window:gnn_confidence+explanation,22,0.8868036687564534,0.8775871049709048,-0.009253360008159952,-0.015414782488807366,-0.004381516550868726,0.3342144929388435,0.3143081891341246,-0.020636570180571,-0.035449855479130404,-0.006531594242535344
setfit_ag_news,subgraphx,all,7600,471,window:gnn_confidence+explanation+bert_explanation,41,0.8868036687564534,0.8779212564094088,-0.008823416154691557,-0.016343583204127803,-0.0009044665003647593,0.3342144929388435,0.3360274443125226,0.0002571342397186276,-0.021946146111046408,0.022919157724661528
setfit_ag_news,subgraphx,all,7600,471,skipgrams:gnn_confidence,3,0.8868036687564534,0.8861639563768574,-0.0006398302989689679,-0.0013130321434915604,-1.9479565922978064e-05,0.3342144929388435,0.32875847611634057,-0.005413628690465936,-0.013647436941706512,0.002072022761497426
setfit_ag_news,subgraphx,all,7600,471,skipgrams:gnn_disagreement,1,0.8868036687564534,0.8865782207716515,-0.00021646727174095748,-0.0006552679324545174,0.00021388525661455152,0.3342144929388435,0.33684007725079584,0.0023114952658713026,-0.0035845763219463974,0.00842513546246132
setfit_ag_news,subgraphx,all,7600,471,skipgrams:gnn_confidence+explanation,22,0.8868036687564534,0.8800560135495133,-0.006755017224855878,-0.009215776606769335,-0.004344821372419142,0.3342144929388435,0.3083109861327384,-0.026303448564218145,-0.04022880114997219,-0.013819906624767488
setfit_ag_news,subgraphx,all,7600,471,skipgrams:gnn_confidence+explanation+bert_explanation,41,0.8868036687564534,0.8796307299005081,-0.0071020108426813975,-0.013487380203888228,-0.0005772996041922235,0.3342144929388435,0.3297254680253399,-0.0050401180223262594,-0.026725819944818485,0.015661917202593457
setfit_ag_news,subgraphx,all,7600,471,committee:confidence+disagreement(4 topologies),16,0.8868036687564534,0.8824963316307097,-0.004347447599244322,-0.008220182550946354,-0.0012842607422081903,0.3342144929388435,0.32149166108618665,-0.012369203068788298,-0.026906564724563927,0.001770878251639003
