dataset,method,graph,feature,block,coef,ci_low,ci_high,significant_95
setfit_ag_news,graphsvx,window,auc_insertion_auc,AUC,0.7807175812338518,-0.44725268058018347,2.0229564354994043,False
setfit_ag_news,graphsvx,window,consistency_baseline_margin,confidence,0.27709423706249553,-0.5488181602604613,1.0857332349021491,False
setfit_ag_news,graphsvx,window,consistency_preservation_necessity,Consistency,0.620764387382043,-0.28784482294895136,1.4919353627340721,False
setfit_ag_news,graphsvx,window,consistency_preservation_sufficiency,Consistency,0.2502459267056722,-0.5998417684282419,0.8700441435496498,False
setfit_ag_news,graphsvx,window,fidelity_asymmetry,Fidelity,0.4456410790987571,-0.16724242751646484,0.9758415695737253,False
setfit_ag_news,graphsvx,window,fidelity_minus,Fidelity,-0.011728832122359987,-0.761861622086561,0.5921100242110139,False
setfit_ag_news,graphsvx,window,fidelity_plus,Fidelity,-0.43909244908903916,-1.0183597207839095,0.12194112421090139,False
setfit_ag_news,graphsvx,window,progression_concentration_top1,Progression,0.2204322107380091,-0.6964998579494032,1.2492440983298294,False
setfit_ag_news,graphsvx,window,progression_concentration_top10,Progression,-0.04882127332799551,-0.48954213354287857,0.33638667243144277,False
setfit_ag_news,graphsvx,window,progression_concentration_top3,Progression,0.08594984890469141,-0.9743876457033409,1.0935287167144776,False
setfit_ag_news,graphsvx,window,progression_concentration_top5,Progression,-0.2641464403370234,-1.421509329851065,0.7788262135516804,False
setfit_ag_news,graphsvx,window,progression_maskout_drop_k1,Progression,-0.05196718610480897,-0.2201763899744642,0.4275274261000549,False
setfit_ag_news,graphsvx,window,progression_maskout_drop_k10,Progression,-0.3817243918073755,-1.0205408830957035,0.38084446878005185,False
setfit_ag_news,graphsvx,window,progression_maskout_drop_k3,Progression,0.3125208274619642,0.001096292829567391,0.9791618139337688,True
setfit_ag_news,graphsvx,window,progression_maskout_drop_k5,Progression,-0.14576530891285244,-0.747539219353424,0.18242468989333965,False
setfit_ag_news,graphsvx,window,progression_sufficiency_drop_k1,Progression,0.06317226145709946,-0.6689374927608567,1.1867895424512576,False
setfit_ag_news,graphsvx,window,progression_sufficiency_drop_k10,Progression,-0.27111602454276246,-1.4566387011857767,0.961751142552473,False
setfit_ag_news,graphsvx,window,progression_sufficiency_drop_k3,Progression,0.30165825713202116,-1.2324152159789015,1.206005373797394,False
setfit_ag_news,graphsvx,window,progression_sufficiency_drop_k5,Progression,1.303999498281242,0.562268174602496,2.1931703621063527,True
setfit_ag_news,subgraphx,constituency,auc_deletion_auc,AUC,-0.8819680786892161,-1.8685307046411859,0.455397692373746,False
setfit_ag_news,subgraphx,constituency,auc_insertion_auc,AUC,1.322136124391937,-0.12507092869024786,2.4833831628482383,False
setfit_ag_news,subgraphx,constituency,consistency_baseline_margin,confidence,0.44660145617541,-0.473785916622818,1.679078668992601,False
setfit_ag_news,subgraphx,constituency,consistency_preservation_necessity,Consistency,-0.2565572982580764,-1.480731947726431,0.7210398227119589,False
setfit_ag_news,subgraphx,constituency,consistency_preservation_sufficiency,Consistency,1.8669716159842398,0.9525198211577465,2.683584544547872,True
setfit_ag_news,subgraphx,constituency,fidelity_asymmetry,Fidelity,-0.9448516936041124,-1.4921994082995529,-0.3970115574875336,True
setfit_ag_news,subgraphx,constituency,fidelity_minus,Fidelity,-0.9207379288427864,-1.3247103444615274,-0.5414622634362326,True
setfit_ag_news,subgraphx,constituency,fidelity_plus,Fidelity,0.8240834604816404,0.27815630161570926,1.398584462452871,True
setfit_ag_news,subgraphx,constituency,progression_concentration_top1,Progression,0.12001243383131661,-0.06211798341286724,0.7163227923943462,False
setfit_ag_news,subgraphx,constituency,progression_concentration_top10,Progression,-0.5281788826560969,-0.8853827122320671,-0.1681948234228232,True
setfit_ag_news,subgraphx,constituency,progression_concentration_top3,Progression,0.16331806630985568,-0.15064113078047647,1.035142238774182,False
setfit_ag_news,subgraphx,constituency,progression_concentration_top5,Progression,-0.181198117733964,-0.7551063980897715,0.18422536481220583,False
setfit_ag_news,subgraphx,constituency,progression_maskout_drop_k1,Progression,-0.10279576232630683,-0.23040909868096765,0.013088767753749385,False
setfit_ag_news,subgraphx,constituency,progression_maskout_drop_k10,Progression,0.5372624381596618,0.246152185112492,0.8019819184128463,True
setfit_ag_news,subgraphx,constituency,progression_maskout_drop_k3,Progression,-0.0504809231053385,-0.2882298474092983,0.09085021331639083,False
setfit_ag_news,subgraphx,constituency,progression_maskout_drop_k5,Progression,0.03806792975619446,-0.1449389183627039,0.28432183747689144,False
setfit_ag_news,subgraphx,constituency,progression_sufficiency_drop_k1,Progression,-0.9094397522597633,-1.7862151269055848,0.03396534053627966,False
setfit_ag_news,subgraphx,constituency,progression_sufficiency_drop_k10,Progression,1.081750863500858,0.307705172256496,1.8577100829180202,True
setfit_ag_news,subgraphx,constituency,progression_sufficiency_drop_k3,Progression,0.2504400531112888,-1.081864524949197,1.5871423142084753,False
setfit_ag_news,subgraphx,constituency,progression_sufficiency_drop_k5,Progression,0.7618574345161565,-0.6919029526296961,1.9052813719087134,False
setfit_ag_news,subgraphx,skipgrams,auc_deletion_auc,AUC,-0.3187450485432017,-1.8458596178442923,1.0235947408388872,False
setfit_ag_news,subgraphx,skipgrams,auc_insertion_auc,AUC,-1.2769283385637171,-2.04644002067423,-0.39918002235590844,True
setfit_ag_news,subgraphx,skipgrams,consistency_baseline_margin,confidence,0.8305773744512097,0.2152308035593938,1.795373990621329,True
setfit_ag_news,subgraphx,skipgrams,consistency_preservation_necessity,Consistency,0.22652599173164778,-0.7091696632475263,0.9225249690771194,False
