dataset,method,graph,target,n,n_errors,error_rate,teacher_gold_alignment,feature_set,n_features,accuracy,balanced_accuracy,auroc,auprc_error,mcc,precision_error,recall_error,f1_error
setfit_ag_news,subgraphx,constituency,teacher_agreement,7600,141,0.018552631578947376,0.9380263157894737,paper (4 dimensions),20,0.9411842105263157,0.9248083375882721,0.9615905008847421,0.35636282606778663,0.4381069053188478,0.2277580071174377,0.9078014184397163,0.36415362731152207
setfit_ag_news,subgraphx,constituency,gold_label,7600,496,0.0652631578947368,0.9380263157894737,majority baseline,0,0.9347368421052632,0.5,0.5,0.06526315789473684,0.0,0.0,0.0,0.0
setfit_ag_news,subgraphx,constituency,gold_label,7600,496,0.0652631578947368,0.9380263157894737,confidence,3,0.8955263157894737,0.7378260316768381,0.819883107654025,0.29170928493312315,0.3727523158982921,0.3247058823529412,0.5564516129032258,0.4101040118870728
setfit_ag_news,subgraphx,constituency,gold_label,7600,496,0.0652631578947368,0.9380263157894737,explanation,19,0.8639473684210527,0.7453138622493461,0.8237050684757337,0.30031239041357033,0.3391269688270651,0.26444833625218916,0.6088709677419355,0.36874236874236876
setfit_ag_news,subgraphx,constituency,gold_label,7600,496,0.0652631578947368,0.9380263157894737,confidence+explanation,22,0.8676315789473684,0.7510353095030514,0.8303525614828539,0.29683935018235214,0.3495748835822603,0.2727272727272727,0.6169354838709677,0.37824474660074164
setfit_ag_news,subgraphx,constituency,gold_label,7600,496,0.0652631578947368,0.9380263157894737,paper (4 dimensions),20,0.8639473684210527,0.7453138622493461,0.8239105410854404,0.30003958231599026,0.3391269688270651,0.26444833625218916,0.6088709677419355,0.36874236874236876
setfit_ag_news,subgraphx,skipgrams,teacher_agreement,7600,144,0.0189473684210526,0.9380263157894737,majority baseline,0,0.9810526315789474,0.5,0.5,0.018947368421052633,0.0,0.0,0.0,0.0
setfit_ag_news,subgraphx,skipgrams,teacher_agreement,7600,144,0.0189473684210526,0.9380263157894737,confidence,3,0.9471052631578948,0.949205710538865,0.9815873494873629,0.39069871844951076,0.4800708910143962,0.2575187969924812,0.9513888888888888,0.40532544378698226
setfit_ag_news,subgraphx,skipgrams,teacher_agreement,7600,144,0.0189473684210526,0.9380263157894737,explanation,19,0.9419736842105263,0.9431852050548402,0.9818453445398188,0.43400322302319505,0.45918190243141804,0.2390158172231986,0.9444444444444444,0.3814866760168303
setfit_ag_news,subgraphx,skipgrams,teacher_agreement,7600,144,0.0189473684210526,0.9380263157894737,confidence+explanation,22,0.9419736842105263,0.9431852050548402,0.9815072499403911,0.42523505944672907,0.45918190243141804,0.2390158172231986,0.9444444444444444,0.3814866760168303
setfit_ag_news,subgraphx,skipgrams,teacher_agreement,7600,144,0.0189473684210526,0.9380263157894737,paper (4 dimensions),20,0.9419736842105263,0.9431852050548402,0.9818043633762518,0.4324275353399795,0.45918190243141804,0.2390158172231986,0.9444444444444444,0.3814866760168303
setfit_ag_news,subgraphx,skipgrams,gold_label,7600,478,0.06289473684210523,0.9380263157894737,majority baseline,0,0.9371052631578948,0.5,0.5,0.06289473684210527,0.0,0.0,0.0,0.0
setfit_ag_news,subgraphx,skipgrams,gold_label,7600,478,0.06289473684210523,0.9380263157894737,confidence,3,0.9032894736842105,0.7395738233465988,0.8154475083981629,0.2925657313742421,0.3822227510403123,0.3363057324840764,0.5523012552301255,0.4180522565320665
setfit_ag_news,subgraphx,skipgrams,gold_label,7600,478,0.06289473684210523,0.9380263157894737,explanation,19,0.7902631578947369,0.7680673591993222,0.8534472123034408,0.29127582452727,0.3046492324557915,0.19441401971522454,0.7426778242677824,0.3081597222222222
setfit_ag_news,subgraphx,skipgrams,gold_label,7600,478,0.06289473684210523,0.9380263157894737,confidence+explanation,22,0.7918421052631579,0.7698856392884796,0.8535429730965046,0.29012328315657143,0.30729298109298564,0.1960352422907489,0.7447698744769874,0.31037489102005233
setfit_ag_news,subgraphx,skipgrams,gold_label,7600,478,0.06289473684210523,0.9380263157894737,paper (4 dimensions),20,0.7906578947368421,0.7673021540891034,0.8534974426580846,0.29117965385797884,0.3040647440286505,0.19439868204283361,0.7405857740585774,0.30795998260113094
setfit_ag_news,subgraphx,syntactic,teacher_agreement,7600,141,0.018552631578947376,0.9380263157894737,majority baseline,0,0.9814473684210526,0.5,0.5,0.01855263157894737,0.0,0.0,0.0,0.0
setfit_ag_news,subgraphx,syntactic,teacher_agreement,7600,141,0.018552631578947376,0.9380263157894737,confidence,3,0.9335526315789474,0.9348366816611662,0.9723462255602495,0.31010438600208734,0.4262334382541858,0.21019108280254778,0.9361702127659575,0.3433029908972692
setfit_ag_news,subgraphx,syntactic,teacher_agreement,7600,141,0.018552631578947376,0.9380263157894737,explanation,19,0.9293421052631579,0.9222544234724295,0.9732922957558054,0.3754081611188178,0.4063476942693024,0.19724770642201836,0.9148936170212766,0.32452830188679244
setfit_ag_news,subgraphx,syntactic,teacher_agreement,7600,141,0.018552631578947376,0.9380263157894737,confidence+explanation,22,0.9303947368421053,0.9262697545637191,0.9735442641998481,0.37502634294503434,0.41192864171144217,0.2006172839506173,0.9219858156028369,0.32953105196451205
setfit_ag_news,subgraphx,syntactic,teacher_agreement,7600,141,0.018552631578947376,0.9380263157894737,paper (4 dimensions),20,0.9305263157894736,0.9298158538544992,0.9741917755598216,0.3847437367246248,0.4150651720303607,0.20184899845916796,0.9290780141843972,0.33164556962025316
setfit_ag_news,subgraphx,syntactic,gold_label,7600,484,0.06368421052631579,0.9380263157894737,majority baseline,0,0.9363157894736842,0.5,0.5,0.06368421052631579,0.0,0.0,0.0,0.0
setfit_ag_news,subgraphx,syntactic,gold_label,7600,484,0.06368421052631579,0.9380263157894737,confidence,3,0.8942105263157895,0.7432465076953809,0.8274134298682052,0.30144445784489593,0.3727486044247215,0.3165137614678899,0.5702479338842975,0.40707964601769914
setfit_ag_news,subgraphx,syntactic,gold_label,7600,484,0.06368421052631579,0.9380263157894737,explanation,19,0.835,0.7665068591789426,0.8466515918033625,0.29036372556417933,0.3324838097964876,0.2318941504178273,0.6880165289256198,0.346875
setfit_ag_news,subgraphx,syntactic,gold_label,7600,484,0.06368421052631579,0.9380263157894737,confidence+explanation,22,0.843421052631579,0.767152592922944,0.8471149870620973,0.28635009113216797,0.3399928636912051,0.24120234604105573,0.6797520661157025,0.3560606060606061
setfit_ag_news,subgraphx,syntactic,gold_label,7600,484,0.06368421052631579,0.9380263157894737,paper (4 dimensions),20,0.8386842105263158,0.7723254312247108,0.8470386255626943,0.28829529651251085,0.3415800352919781,0.2379943502824859,0.6962809917355371,0.3547368421052632
setfit_ag_news,subgraphx,window,teacher_agreement,7600,136,0.017894736842105297,0.9380263157894737,majority baseline,0,0.9821052631578947,0.5,0.5,0.017894736842105262,0.0,0.0,0.0,0.0
setfit_ag_news,subgraphx,window,teacher_agreement,7600,136,0.017894736842105297,0.9380263157894737,confidence,3,0.9446052631578947,0.9501410692894521,0.9760802833995336,0.30732010130979853,0.4625803104821849,0.23853211009174313,0.9558823529411765,0.38179148311306904
setfit_ag_news,subgraphx,window,teacher_agreement,7600,136,0.017894736842105297,0.9380263157894737,explanation,19,0.9392105263157895,0.9365661055418952,0.9803941271042179,0.3891379793438548,0.43596610642279415,0.2189655172413793,0.9338235294117647,0.3547486033519553
setfit_ag_news,subgraphx,window,teacher_agreement,7600,136,0.017894736842105297,0.9380263157894737,confidence+explanation,22,0.9392105263157895,0.932956623163735,0.9799321054788475,0.380652929065367,0.4330472859748378,0.2179930795847751,0.9264705882352942,0.35294117647058826
setfit_ag_news,subgraphx,window,teacher_agreement,7600,136,0.017894736842105297,0.9380263157894737,paper (4 dimensions),20,0.9392105263157895,0.932956623163735,0.9803507817918165,0.38849022919657333,0.4330472859748378,0.2179930795847751,0.9264705882352942,0.35294117647058826
setfit_ag_news,subgraphx,window,gold_label,7600,478,0.06289473684210523,0.9380263157894737,majority baseline,0,0.9371052631578948,0.5,0.5,0.06289473684210527,0.0,0.0,0.0,0.0
setfit_ag_news,subgraphx,window,gold_label,7600,478,0.06289473684210523,0.9380263157894737,confidence,3,0.9028947368421053,0.7325324676087649,0.8208788490845151,0.29065197910063273,0.373314541133031,0.33204134366925064,0.5376569037656904,0.41054313099041534
setfit_ag_news,subgraphx,window,gold_label,7600,478,0.06289473684210523,0.9380263157894737,explanation,19,0.8169736842105263,0.7774398733842569,0.8456441763925558,0.2959585068479195,0.3294518825024043,0.21698698078115314,0.7322175732217573,0.3347680535628886
setfit_ag_news,subgraphx,window,gold_label,7600,478,0.06289473684210523,0.9380263157894737,confidence+explanation,22,0.8177631578947369,0.775909463163819,0.8454194616480961,0.29610166765442986,0.32838078691085965,0.21709295071740486,0.7280334728033473,0.3344545891398366
setfit_ag_news,subgraphx,window,gold_label,7600,478,0.06289473684210523,0.9380263157894737,paper (4 dimensions),20,0.8172368421052632,0.7766044632754421,0.8456294891543559,0.29665662780847596,0.3287580761730127,0.21690490988191424,0.7301255230125523,0.3344513655965501
setfit_ag_news,token_shap_llm,tokens,teacher_agreement,7600,471,0.06197368421052629,1.0,majority baseline,0,0.9380263157894737,0.5,0.5,0.06197368421052631,0.0,0.0,0.0,0.0
