dataset,method,graph,feature,block,coef,ci_low,ci_high,significant_95
setfit_ag_news,graphsvx,window,consistency_preservation_necessity,Consistency,0.7558144061192454,-0.3186627759785287,1.7456493769878008,False
setfit_ag_news,graphsvx,window,consistency_preservation_sufficiency,Consistency,0.23966719685226054,-0.6250667597517047,0.8295267718131616,False
setfit_ag_news,graphsvx,window,fidelity_asymmetry,Fidelity,0.42538166588372134,-0.14520123939430143,1.0059208755405245,False
setfit_ag_news,graphsvx,window,fidelity_minus,Fidelity,-0.0007646930972088206,-0.8802513697626305,0.6502378298407345,False
setfit_ag_news,graphsvx,window,fidelity_plus,Fidelity,-0.41563964866446396,-1.0592146602697377,0.12567321729445807,False
setfit_ag_news,graphsvx,window,progression_concentration_top1,Progression,0.2822479758643177,-0.7058047153449948,1.2814389010396885,False
setfit_ag_news,graphsvx,window,progression_concentration_top10,Progression,-0.06725450204753632,-0.5145460706674047,0.3200911731714984,False
setfit_ag_news,graphsvx,window,progression_concentration_top3,Progression,-0.003603549556285184,-1.0413799566728885,1.1856769765616277,False
setfit_ag_news,graphsvx,window,progression_concentration_top5,Progression,-0.2367239372871734,-1.4801778186646286,0.7354762393033538,False
setfit_ag_news,graphsvx,window,progression_maskout_drop_k1,Progression,-0.056850980641191186,-0.22508194248368363,0.3904684925648994,False
setfit_ag_news,graphsvx,window,progression_maskout_drop_k10,Progression,-0.3719435333883902,-1.0099363534380235,0.37485160653559646,False
setfit_ag_news,graphsvx,window,progression_maskout_drop_k3,Progression,0.3060887297449214,0.0031172589735077947,0.955382623633489,True
setfit_ag_news,graphsvx,window,progression_maskout_drop_k5,Progression,-0.1818343667578223,-0.7132211423114617,0.1491420074422621,False
setfit_ag_news,graphsvx,window,progression_sufficiency_drop_k1,Progression,0.007728695841908101,-0.7849352666388443,1.1342552955748253,False
setfit_ag_news,graphsvx,window,progression_sufficiency_drop_k10,Progression,-0.3211214884399318,-1.5917899913639602,0.9538896713358354,False
setfit_ag_news,graphsvx,window,progression_sufficiency_drop_k3,Progression,0.34326451583274836,-1.3661025987481998,1.226721380487266,False
setfit_ag_news,graphsvx,window,progression_sufficiency_drop_k5,Progression,1.26444442364015,0.5117922091480358,2.1629759543254274,True
setfit_ag_news,subgraphx,constituency,prediction_confidence,confidence,-1.7778552708026687,-2.8770425950965297,-0.5782384567699033,True
setfit_ag_news,subgraphx,constituency,consistency_baseline_margin,confidence,1.1053881079648418,0.18839239075930225,2.0861721721324,True
setfit_ag_news,subgraphx,constituency,auc_origin_entropy,confidence,-1.3790269564045097,-1.7838356514302598,-1.061502414033677,True
setfit_ag_news,subgraphx,constituency,auc_deletion_auc,AUC,-1.6009928908935513,-2.9983883907569546,-0.43695587719062945,True
setfit_ag_news,subgraphx,constituency,auc_insertion_auc,AUC,1.5073306012275756,0.10164010241881605,2.663793098314836,True
setfit_ag_news,subgraphx,constituency,consistency_preservation_necessity,Consistency,0.7420762970096835,-0.11458671197582809,2.0272348641699462,False
setfit_ag_news,subgraphx,constituency,consistency_preservation_sufficiency,Consistency,1.1062582297312025,0.31466903112183625,1.9432868705917838,True
setfit_ag_news,subgraphx,constituency,fidelity_asymmetry,Fidelity,-0.7073246004217647,-1.229338024203732,-0.15757414175130183,True
setfit_ag_news,subgraphx,constituency,fidelity_minus,Fidelity,-0.4477895512268544,-0.8639884894017476,0.05058683195249303,False
setfit_ag_news,subgraphx,constituency,fidelity_plus,Fidelity,0.648229827341206,0.11180419858090683,1.2071763608858204,True
setfit_ag_news,subgraphx,constituency,progression_concentration_top1,Progression,0.14902482876713358,-0.05821359417660321,0.7212999964772513,False
setfit_ag_news,subgraphx,constituency,progression_concentration_top10,Progression,-0.45687629492163057,-0.8327738223370373,-0.0853363148803806,True
setfit_ag_news,subgraphx,constituency,progression_concentration_top3,Progression,0.1327135769823978,-0.1700320209508569,1.1834686303094943,False
setfit_ag_news,subgraphx,constituency,progression_concentration_top5,Progression,-0.18800041686893226,-0.8420014148930944,0.1769799258894969,False
setfit_ag_news,subgraphx,constituency,progression_maskout_drop_k1,Progression,-0.08105642704111377,-0.19303689463283813,0.02020913904639865,False
setfit_ag_news,subgraphx,constituency,progression_maskout_drop_k10,Progression,0.3361649254720802,0.06897927311377319,0.5819518185723125,True
