dataset,method,graph,target,n,n_errors,error_rate,teacher_gold_alignment,dimension,js_divergence_bits,cramers_v,chi2,chi2_p_value,legacy_weighted_sd,legacy_separability,n_correct,n_incorrect,pct_correct_by_quadrant,quadrant_share_pct
setfit_ag_news,subgraphx,skipgrams,gold_label,7600,478,0.06289473684210523,0.9380263157894737,Dimension 3 (consistency),0.03185744702663148,0.1748519002275899,232.35622130031282,4.279194344418495e-50,4.244941378405436,6.003253668819708,7122,478,"{""Sufficient-Necessary"": 46.15, ""Sufficient-Redundant"": 94.25, ""Insufficient-Necessary"": 50.0, ""Insufficient-Redundant"": 67.96}","{""Sufficient-Necessary"": 0.34, ""Sufficient-Redundant"": 98.25, ""Insufficient-Necessary"": 0.05, ""Insufficient-Redundant"": 1.36}"
setfit_ag_news,subgraphx,skipgrams,gold_label,7600,478,0.06289473684210523,0.9380263157894737,Dimension 4 (fidelity),0.0036028465867330777,0.03447237064411878,9.031416967473817,0.002653786957116169,0.8368979254356361,1.183552396472984,7122,478,"{""Faithful"": 0.0, ""Redundant"": 94.46, ""Incomplete"": 0.0, ""Unfaithful"": 92.77}","{""Faithful"": 0.0, ""Redundant"": 55.57, ""Incomplete"": 0.0, ""Unfaithful"": 44.43}"
setfit_ag_news,subgraphx,syntactic,teacher_agreement,7600,141,0.018552631578947376,0.9380263157894737,Dimension 3 (consistency),0.20459438433164837,0.3649084522907164,1012.0021570043657,4.482115663280457e-219,4.924024334749319,6.963621995657644,7459,141,"{""Sufficient-Necessary"": 67.31, ""Sufficient-Redundant"": 98.89, ""Insufficient-Necessary"": 36.36, ""Insufficient-Redundant"": 71.07}","{""Sufficient-Necessary"": 0.68, ""Sufficient-Redundant"": 97.58, ""Insufficient-Necessary"": 0.14, ""Insufficient-Redundant"": 1.59}"
setfit_ag_news,subgraphx,syntactic,teacher_agreement,7600,141,0.018552631578947376,0.9380263157894737,Dimension 4 (fidelity),0.02171434499001011,0.03318869417093892,8.371319597868077,0.0038118873177495995,0.4478436624593711,0.6333465812728811,7459,141,"{""Faithful"": 0.0, ""Redundant"": 98.02, ""Incomplete"": 0.0, ""Unfaithful"": 99.81}","{""Faithful"": 0.0, ""Redundant"": 93.22, ""Incomplete"": 0.0, ""Unfaithful"": 6.78}"
setfit_ag_news,subgraphx,syntactic,gold_label,7600,484,0.06368421052631579,0.9380263157894737,Dimension 3 (consistency),0.04490289076071719,0.20173808918292122,309.3067503665397,9.625530049493328e-67,4.926233136764276,6.966745713423794,7116,484,"{""Sufficient-Necessary"": 57.69, ""Sufficient-Redundant"": 94.4, ""Insufficient-Necessary"": 63.64, ""Insufficient-Redundant"": 64.46}","{""Sufficient-Necessary"": 0.68, ""Sufficient-Redundant"": 97.58, ""Insufficient-Necessary"": 0.14, ""Insufficient-Redundant"": 1.59}"
setfit_ag_news,subgraphx,syntactic,gold_label,7600,484,0.06368421052631579,0.9380263157894737,Dimension 4 (fidelity),0.0001368749576007556,0.006866040827710488,0.3582831265231836,0.5494612925640551,0.16766153571116238,0.23710921769102686,7116,484,"{""Faithful"": 0.0, ""Redundant"": 93.68, ""Incomplete"": 0.0, ""Unfaithful"": 93.01}","{""Faithful"": 0.0, ""Redundant"": 93.22, ""Incomplete"": 0.0, ""Unfaithful"": 6.78}"
setfit_ag_news,subgraphx,window,teacher_agreement,7600,136,0.017894736842105297,0.9380263157894737,Dimension 3 (consistency),0.34678722134790385,0.4540310035865243,1566.695556855177,0.0,6.019039411610351,8.512207168357534,7464,136,"{""Sufficient-Necessary"": 46.67, ""Sufficient-Redundant"": 99.3, ""Insufficient-Necessary"": 34.78, ""Insufficient-Redundant"": 74.9}","{""Sufficient-Necessary"": 0.2, ""Sufficient-Redundant"": 96.25, ""Insufficient-Necessary"": 0.3, ""Insufficient-Redundant"": 3.25}"
setfit_ag_news,subgraphx,window,teacher_agreement,7600,136,0.017894736842105297,0.9380263157894737,Dimension 4 (fidelity),0.0183660489694998,0.03815471952367768,11.063947926671883,0.0008802252058837178,0.5058129483181631,0.7153275315354678,7464,136,"{""Faithful"": 0.0, ""Redundant"": 97.91, ""Incomplete"": 0.0, ""Unfaithful"": 99.07}","{""Faithful"": 0.0, ""Redundant"": 74.43, ""Incomplete"": 0.0, ""Unfaithful"": 25.57}"
setfit_ag_news,subgraphx,window,gold_label,7600,478,0.06289473684210523,0.9380263157894737,Dimension 3 (consistency),0.0680449728222411,0.2502273938317707,475.8644895411845,8.108313338455068e-103,6.0748588760228515,8.591147811974093,7122,478,"{""Sufficient-Necessary"": 46.67, ""Sufficient-Redundant"": 94.85, ""Insufficient-Necessary"": 34.78, ""Insufficient-Redundant"": 68.42}","{""Sufficient-Necessary"": 0.2, ""Sufficient-Redundant"": 96.25, ""Insufficient-Necessary"": 0.3, ""Insufficient-Redundant"": 3.25}"
setfit_ag_news,subgraphx,window,gold_label,7600,478,0.06289473684210523,0.9380263157894737,Dimension 4 (fidelity),0.021257606263759773,0.08920034892246306,60.47093708395761,7.467287661745239e-15,2.1655483961930604,3.0625479118715306,7122,478,"{""Faithful"": 0.0, ""Redundant"": 94.98, ""Incomplete"": 0.0, ""Unfaithful"": 90.02}","{""Faithful"": 0.0, ""Redundant"": 74.43, ""Incomplete"": 0.0, ""Unfaithful"": 25.57}"
setfit_ag_news,token_shap_llm,tokens,teacher_agreement,7600,471,0.06197368421052629,1.0,Dimension 3 (consistency),0.08638525747287823,0.23962072616303393,436.37750229243767,2.9153616018546316e-94,5.777441392279298,8.170535972777081,7129,471,"{""Sufficient-Necessary"": 74.69, ""Sufficient-Redundant"": 96.07, ""Insufficient-Necessary"": 59.2, ""Insufficient-Redundant"": 90.74}","{""Sufficient-Necessary"": 2.13, ""Sufficient-Redundant"": 73.63, ""Insufficient-Necessary"": 1.64, ""Insufficient-Redundant"": 22.59}"
setfit_ag_news,token_shap_llm,tokens,teacher_agreement,7600,471,0.06197368421052629,1.0,Dimension 4 (fidelity),0.033619358758251276,0.12931695040070113,127.09383982312418,2.287195693963982e-27,3.1179318831544274,4.409421555712476,7129,471,"{""Faithful"": 76.84, ""Redundant"": 95.21, ""Incomplete"": 75.86, ""Unfaithful"": 90.72}","{""Faithful"": 1.25, ""Redundant"": 75.01, ""Incomplete"": 0.76, ""Unfaithful"": 22.97}"
setfit_ag_news,token_shap_llm,tokens,gold_label,7600,471,0.06197368421052629,1.0,Dimension 3 (consistency),0.08638525747287823,0.23962072616303393,436.37750229243767,2.9153616018546316e-94,5.777441392279298,8.170535972777081,7129,471,"{""Sufficient-Necessary"": 74.69, ""Sufficient-Redundant"": 96.07, ""Insufficient-Necessary"": 59.2, ""Insufficient-Redundant"": 90.74}","{""Sufficient-Necessary"": 2.13, ""Sufficient-Redundant"": 73.63, ""Insufficient-Necessary"": 1.64, ""Insufficient-Redundant"": 22.59}"
