dataset,method,graph,target,n,n_errors,error_rate,teacher_gold_alignment,feature,auroc_correct,auroc_error_oriented
setfit_ag_news,subgraphx,constituency,teacher_agreement,7600,141,0.018552631578947376,0.9380263157894737,fidelity_minus,0.3073634687592408,0.6926365312407592
setfit_ag_news,subgraphx,constituency,teacher_agreement,7600,141,0.018552631578947376,0.9380263157894737,fidelity_plus,0.66133634554477,0.66133634554477
setfit_ag_news,subgraphx,constituency,teacher_agreement,7600,141,0.018552631578947376,0.9380263157894737,fidelity_asymmetry,0.27006738491935584,0.7299326150806442
setfit_ag_news,subgraphx,constituency,teacher_agreement,7600,141,0.018552631578947376,0.9380263157894737,consistency_preservation_necessity,0.9785199278514507,0.9785199278514507
setfit_ag_news,subgraphx,constituency,teacher_agreement,7600,141,0.018552631578947376,0.9380263157894737,consistency_preservation_sufficiency,0.7768006473211951,0.7768006473211951
setfit_ag_news,subgraphx,constituency,teacher_agreement,7600,141,0.018552631578947376,0.9380263157894737,progression_maskout_drop_k5,0.30917573990771297,0.690824260092287
setfit_ag_news,subgraphx,constituency,teacher_agreement,7600,141,0.018552631578947376,0.9380263157894737,progression_sufficiency_drop_k5,0.8496632655680841,0.8496632655680841
setfit_ag_news,subgraphx,constituency,gold_label,7600,496,0.0652631578947368,0.9380263157894737,prediction_confidence,0.8437186398848445,0.8437186398848445
setfit_ag_news,subgraphx,constituency,gold_label,7600,496,0.0652631578947368,0.9380263157894737,consistency_baseline_margin,0.8468196018599244,0.8468196018599244
setfit_ag_news,subgraphx,constituency,gold_label,7600,496,0.0652631578947368,0.9380263157894737,auc_origin_entropy,0.15751689189189189,0.8424831081081081
setfit_ag_news,subgraphx,constituency,gold_label,7600,496,0.0652631578947368,0.9380263157894737,auc_deletion_auc,0.8483092782802965,0.8483092782802965
setfit_ag_news,subgraphx,constituency,gold_label,7600,496,0.0652631578947368,0.9380263157894737,auc_insertion_auc,0.5913132764821274,0.5913132764821274
setfit_ag_news,subgraphx,constituency,gold_label,7600,496,0.0652631578947368,0.9380263157894737,fidelity_minus,0.26447943344049696,0.735520566559503
